country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-05-2025 21:00:00",22.969611,72.643500,SO2,6,42,12
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-05-2025 21:00:00",22.969611,72.643500,CO,29,52,50
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","31-05-2025 21:00:00",22.969611,72.643500,OZONE,6,30,29
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","31-05-2025 21:00:00",28.3153,76.9143,CO,32,58,51
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","31-05-2025 21:00:00",30.943887,76.801991,PM2.5,NA,NA,NA
India,"Himachal Pradesh",Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB","31-05-2025 21:00:00",30.943887,76.801991,NO2,10,42,22
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB","31-05-2025 21:00:00",34.066206,74.819820,CO,16,19,17
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","31-05-2025 21:00:00",23.80569,86.44268,PM2.5,8,298,74
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","31-05-2025 21:00:00",23.221714,72.654328,NO2,16,51,27
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","31-05-2025 21:00:00",23.221714,72.654328,OZONE,5,27,25
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","31-05-2025 21:00:00",22.410802,73.097923,NO2,NA,NA,NA
India,Gujarat,Surat,"Science Center, Surat - SMC","31-05-2025 21:00:00",21.170046,72.795405,PM10,14,46,30
India,Gujarat,Surat,"Science Center, Surat - SMC","31-05-2025 21:00:00",21.170046,72.795405,NO2,12,14,13
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","31-05-2025 21:00:00",20.362421,72.918013,PM10,98,130,113
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","31-05-2025 21:00:00",20.362421,72.918013,SO2,32,34,33
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","31-05-2025 21:00:00",13.029152,77.585901,NO2,16,19,17
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","31-05-2025 21:00:00",13.029152,77.585901,SO2,7,10,9
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","31-05-2025 21:00:00",12.920984,77.584908,SO2,4,27,10
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","31-05-2025 21:00:00",12.920984,77.584908,CO,4,19,10
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","31-05-2025 21:00:00",12.920984,77.584908,OZONE,1,31,9
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","31-05-2025 21:00:00",12.7816279,77.6299145,PM10,37,71,45
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","31-05-2025 21:00:00",12.7816279,77.6299145,SO2,10,11,11
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","31-05-2025 21:00:00",13.003872,77.664217,NO2,20,28,25
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","31-05-2025 21:00:00",23.076793,72.627874,NH3,1,6,2
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","31-05-2025 21:00:00",23.043070,72.562968,PM10,67,141,102
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","31-05-2025 21:00:00",21.613267,73.010555,SO2,61,62,61
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","31-05-2025 21:00:00",23.163798,72.677768,PM10,72,139,102
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","31-05-2025 21:00:00",23.163798,72.677768,SO2,23,26,24
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","31-05-2025 21:00:00",23.163798,72.677768,CO,10,34,19
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB","31-05-2025 21:00:00",23.80569,86.44268,OZONE,24,45,35
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","31-05-2025 21:00:00",12.9135218,77.5950804,SO2,25,26,26
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","31-05-2025 21:00:00",12.951913,77.539784,PM10,28,129,70
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","31-05-2025 21:00:00",12.9756843,77.5660749,NO2,38,43,40
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","31-05-2025 21:00:00",12.9756843,77.5660749,SO2,6,13,10
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","31-05-2025 21:00:00",13.0270199,77.494094,NO2,15,35,20
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","31-05-2025 21:00:00",13.0270199,77.494094,NH3,4,8,5
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","31-05-2025 21:00:00",13.0270199,77.494094,SO2,2,12,5
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","31-05-2025 21:00:00",12.921418,77.502466,PM2.5,60,165,80
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","31-05-2025 21:00:00",12.921418,77.502466,NH3,6,6,6
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","31-05-2025 21:00:00",12.921418,77.502466,OZONE,21,22,22
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","31-05-2025 21:00:00",12.917348,77.622813,NO2,4,13,8
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","31-05-2025 21:00:00",23.002657,72.591912,OZONE,2,26,20
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","31-05-2025 21:00:00",23.016834,72.625775,NH3,8,12,10
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","31-05-2025 21:00:00",23.023389,72.515201,PM2.5,55,132,76
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","31-05-2025 21:00:00",28.5504249,77.2159377,CO,24,121,33
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.710508,77.249485,PM10,127,500,262
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","31-05-2025 21:00:00",28.672342,77.315260,NO2,26,100,61
India,"Madhya Pradesh",Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB","31-05-2025 21:00:00",23.108440,77.511428,CO,24,38,27
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","31-05-2025 21:00:00",22.624758,75.675238,SO2,14,26,21
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","31-05-2025 21:00:00",22.624758,75.675238,CO,12,23,19
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","31-05-2025 21:00:00",23.331731,75.045981,SO2,NA,NA,NA
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","31-05-2025 21:00:00",23.838586,78.759431,SO2,2,10,4
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","31-05-2025 21:00:00",24.108970,82.645580,PM10,18,170,71
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","31-05-2025 21:00:00",24.108970,82.645580,NH3,1,4,3
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","31-05-2025 21:00:00",24.108970,82.645580,OZONE,18,89,59
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","31-05-2025 21:00:00",22.9682591,76.064118,SO2,39,80,59
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","31-05-2025 21:00:00",26.259242,78.216432,NO2,8,44,15
